Food,Calories,Fat,Sat.Fat,Trans_Fat,Cholesterol,Carbs,Fiber,Sugars,Protein
Hamburger,250,9,3.5,0.5,25,31,2,6,12
Cheeseburger,300,12,6,0.5,40,33,2,6,15
Double Cheeseburger,440,23,11,1.5,80,34,2,7,25
McDouble,390,19,8,1,65,33,2,7,22
 Quarter Pounder with Cheese,510,26,12,1.5,90,40,3,9,29
Double Quarter Pounder with Cheese,740,42,19,2.5,155,40,3,9,48
Big Mac,540,29,10,1.5,75,45,3,9,25
Big  Tasty,460,24,8,1.5,70,37,3,8,24
Big  Tasty with Cheese,510,28,11,1.5,85,38,3,8,27
Angus Bacon & Cheese,790,39,17,2,145,63,4,13,45
Angus Deluxe,750,39,16,2,135,61,4,10,40
Angus Mushroom & Swiss,770,40,17,2,135,59,4,8,44
Filet-O-Fish,380,18,3.5,0,40,38,2,5,15
McChicken ,360,16,3,0,35,40,2,5,14
McRib ,500,26,10,0,70,44,3,11,22
Premium Grilled Chicken Classic Sandwich,360,9,2,0,65,41,4,8,27
Premium Crispy Chicken Classic Sandwich,510,22,3.5,0,45,56,3,10,24
Premium Grilled Chicken Club Sandwich,460,17,6,0,90,43,4,9,35
Premium Crispy Chicken Club Sandwich,620,29,7,0,70,57,3,11,31
Premium Grilled Chicken Ranch BLT Sandwich,380,10,3,0,75,41,4,9,31
Premium Crispy Chicken Ranch BLT Sandwich,540,23,4.5,0,55,56,3,11,27
Southern Style Crispy Chicken Sandwich,400,17,3,0,45,39,1,6,24
Ranch Snack Wrap (Crispy),340,17,4.5,0,30,33,1,2,14
Ranch Snack Wrap (Grilled),270,10,4,0,45,26,1,2,18
Honey Mustard Snack Wrap (Crispy),330,16,4.5,0,30,34,1,4,14
Honey Mustard Snack Wrap (Grilled),260,9,3.5,0,45,27,1,4,18
Chipotle BBQ Snack Wrap (Crispy),330,15,4.5,0,30,35,1,4,14
Chipotle BBQ Snack Wrap (Grilled),260,9,3.5,0,45,28,1,5,18
Angus Bacon & Cheese Snack Wrap,390,21,9,1,75,28,1,4,21
Angus Chipotle BBQ Bacon,800,39,18,2,145,66,4,16,45
Angus Chipotle BBQ Bacon Snack Wrap,400,22,10,1,75,30,1,6,21
Angus Deluxe Snack Wrap,410,25,10,1.5,75,27,2,3,20
Angus Mushroom & Swiss Snack Wrap,430,26,10,1.5,75,27,2,2,22
Mac Snack Wrap,330,19,7,1,45,26,1,3,15
Small French Fries,230,11,1.5,0,0,29,3,0,3
Medium French Fries,380,19,2.5,0,0,48,5,0,4
Large French Fries,500,25,3.5,0,0,63,6,0,6
Ketchup Packet,15,0,0,0,0,3,0,2,0
Salt Packet,0,0,0,0,0,0,0,0,0
Chicken McNuggets (4 piece),190,12,2,0,25,12,1,0,9
Chicken McNuggets (6 piece),280,18,3,0,40,18,1,0,13
